task,Method_name,execution_time(ms)
Brazilian,Brazilian.main,107266.88781199997
Brazilian,Brazilian.isBrazilian,75350.95825199998
Brazilian,Brazilian.sameDigits,70158.39980099998
CalculateE,CalculateE.main,1.988104
Calculate,Calculate_Pi.main,331.24723499999993
Calculate,Calculate_Pi.bigSqrt,299.24327500000004
Calculate,Calculate_Pi.<clinit>,1.002584
CalendarTask,CalendarTask.main,109.14736300000003
CalendarTask,CalendarTask.printCalendar,109.14736300000003
CalkinWilfSequence,CalkinWilfSequence.main,29.01908
CalkinWilfSequence,CalkinWilfSequence.nextCalkinWilf,1.000642
CamelCaseAndSnakeCase,CamelCaseAndSnakeCase.main,25.025884999999995
CamelCaseAndSnakeCase,CamelCaseAndSnakeCase.toSnakeCase,6.005879
CamelCaseAndSnakeCase,CamelCaseAndSnakeCase.toCamelCase,0.999817
CanonicalizeCIDR,CanonicalizeCIDR.main,43.04852500000001
CanonicalizeCIDR,CanonicalizeCIDR.CIDR.toString,13.020271000000001
CanonicalizeCIDR,CanonicalizeCIDR.CIDR.<init>,22.020216999999995
CastingOutNines,CastingOutNines.main,8.006894
CastingOutNines,CastingOutNines.castOut,2.003678
CatlanNumbers,CatlanNumbers.main,52.05411200000001
CatlanNumbers,CatlanNumbers.Catlan1.catlin,11.013869000000001
Chaocipher,Chaocipher.main,20.015417999999997
Chaocipher,Chaocipher.exec,20.009280999999994
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.main,1226.445487
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.isPrime,1036.2886939999996
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.aSrp,985.287817
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.modPow,978.2852630000001
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.U,115.05021199999997
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.isPrimeTrivial,4.99851
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.sieve,3.9971999999999994
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.display,4.027355999999999
ChernicksCarmichaelNumbers,ChernicksCarmichaelNumbers.multiply,2.001548
Chess960SPID,Chess960SPID.main,18.017929000000002
Chess960SPID,Chess960SPID.calculateSPID,12.011823
Chess960SPID,Chess960SPID.retainIf,12.011823
Chess960SPID,Chess960SPID.validate,2.001007
Chess960SPID,Chess960SPID.65.apply,3.005351
Chess960,Chess960.main,29.030342
Chess960,Chess960.generateFirstRank,27.026901999999996
Chess960,Chess960.check,17.019008
ChineseRemainderTheorem,ChineseRemainderTheorem.main,1.9997690000000001
ChineseRemainderTheorem,ChineseRemainderTheorem.chineseRemainder,1.9997690000000001
Cholesky,Cholesky.main,4.005458
Church,Church.main,15.024506
Church,Church.toInt,3.001397
Church,Church.toChurchNum,1.003943
Church,Church.next,1.003943
Church,Church.plus,1.001135
Church,Church.67.apply,0.999507
Church,Church.plus.4,0.999507
Church,Church.73.apply,0.999507
Church,Church.mult.9,0.999507
CircleSort,CircleSort.main,1.002076
CircleSort,CircleSort.circleSort,1.002076
Circles,Circles.main,38.058478
Circles,Circles.Point.toString,24.050508
CircularPrimes,CircularPrimes.main,16249719.892878035
CircularPrimes,CircularPrimes.testRepunit,16134255.190396028
CircularPrimes,CircularPrimes.isCircularPrime,34.016919
CircularPrimes,CircularPrimes.isPrime,28.013146
CircularPrimes,CircularPrimes.repunit,412.152919
CircularPrimes,CircularPrimes.cycle,0.998353
Cistercian,Cistercian.main,10.00581
Cistercian,Cistercian.toString,0.999545
CocktailSort,CocktailSort.main,5.99104
ColorfulNumbers,ColorfulNumbers.main,951.4702319999998
ColorfulNumbers,ColorfulNumbers.<init>,921.4227599999996
ColorfulNumbers,ColorfulNumbers.countColorful,7490.443570999977
ColorfulNumbers,ColorfulNumbers.isColorful,756.3282849999994
CombinationsAndPermutations,CombinationsAndPermutations.main,3975.220044999996
CombinationsAndPermutations,CombinationsAndPermutations.display,916.4655650000016
CombinationsAndPermutations,CombinationsAndPermutations.permutation,2945.6183350000006
CombinationsAndPermutations,CombinationsAndPermutations.combination,76.00676899999999
Comb,Comb.main,13.014978000000001
Comb,Comb.comb,10.008607000000001
Comb,Comb.bitprint,9.007425000000001
Comb,java.lang.invoke.MethodHandles.foldArgumentsWithCombiner,2.001939
Comb,java.lang.invoke.MethodHandles.argumentsWithCombiner,4.995755
Comb,java.lang.invoke.MethodHandles.filterArgumentsWithCombiner,2.993816
Comb,java.lang.invokeFormEditor.makeArgumentCombinationForm,1.9937639999999999
CommonPath,CommonPath.main,1.994118
CommonPath,CommonPath.commonPath,1.994118
ComparatorTest,ComparatorTest.main,3.0043109999999995
CompareListOfStrings,CompareListOfStrings.main,9.019689
Compare,Compare.main,15.015573999999999
Compare,Compare.compare,15.015573999999999
CompileTimeCalculation,CompileTimeCalculation.main,1.996725
Compose,Compose.main,3.0027100000000004
Compose,Compose.1.call,1.002454
Compose,Compose.3.call,2.004908
CompositeNumbersK,CompositeNumbersK.main,2366067.777187998
CompositeNumbersK,CompositeNumbersK.primeFactors,4039633.3822540045
CompositeNumbersK,CompositeNumbersK.pollardsRho,874312.477422006
CompositeNumbersK,CompositeNumbersK.62.test,2433.328841
CompositeNumbersK,CompositeNumbersK.main.0,2290.266544
CompositeNumbersK,CompositeNumbersK.62.<init>,3.001119
CompoundDuration,CompoundDuration.main,2.005485
CompoundDuration,CompoundDuration.compound,2.005485
ComputerZero,ComputerZero.<clinit>,6.005203
ComputerZero,ComputerZero.main,27.026719
ComputerZero,ComputerZero.run,23.023551
ComputerZero,ComputerZero.parse,14.014378
ComputerZero,ComputerZero.compile,5.002003
ConjugateTranspose,ConjugateTranspose.main,61.07613400000002
ConsecutivePrimes,ConsecutivePrimes.main,602.2844339999999
ConsecutivePrimes,ConsecutivePrimes.listPrimeNumbers,223.10229899999996
ConsecutivePrimes,ConsecutivePrimes.displayResult,15.029816
ConstructFromRationalNumber,ConstructFromRationalNumber.main,38.02113500000001
ConstructFromRationalNumber,ConstructFromRationalNumber.iterate,18.005152
ConstructFromRationalNumber,ConstructFromRationalNumber.62.accept,16.005564
ConstructFromRationalNumber,ConstructFromRationalNumber.iterate.0,16.005564
ConvexHull,ConvexHull.main,4.004256
ConvexHull,ConvexHull.Point.toString,2.0025180000000002
ConvexHull,ConvexHull.convexHull,2.001738
CountingInFactors,CountingInFactors.main,17.020925000000002
CountingInFactors,CountingInFactors.countInFactors,9.006249
CountingInFactors,CountingInFactors.checkFactor,1.999711
CountSubstring,CountSubstring.main,0.999323
CramersRule,CramersRule.main,7.9985930000000005
CramersRule,CramersRule.cramersRule,5.994597000000001
CramersRule,CramersRule.Matrix.determinant,9.988620000000001
CramersRule,CramersRule.Matrix.coFactor,4.994086
CramersRule,CramersRule.Matrix.get,1.000302
CreateFileTest,CreateFileTest.main,0.998967
CreateFile,CreateFile.main,2.001999
CreateTempFile,CreateTempFile.main,25.051726000000006
CubanPrimes,CubanPrimes.main,3344533.5580370007
CubanPrimes,CubanPrimes.cubanPrime,3344326.4388910006
CubanPrimes,CubanPrimes.isPrime,820086.2008030006
CubanPrimes,CubanPrimes.preCompute,193.10621499999996
CullenAndWoodhall,CullenAndWoodhall.main,24552964.063379038
CullenAndWoodhall,CullenAndWoodhall.primeSequence,24552884.05137505
CullenAndWoodhall,CullenAndWoodhall.nextNumber,224.165326
CullenAndWoodhall,CullenAndWoodhall.numberSequence,11.022400000000001
CullenAndWoodhall,CullenAndWoodhall.numberInitialise,1.000445
Currency,Currency.main,16.018036
Currency,Currency.MenuItem.<clinit>,1.003617
Currency,Currency.MenuItem.<init>,1.003617
Curry,Curry.main,3.002848
Curry,Curry.curryMethod,2.002837
Curry,Curry.curry,1.001721
Curry,Curry.curryDirectly,1.000011
CurzonNumbers,CurzonNumbers.main,763.3316070000001
CurzonNumbers,CurzonNumbers.isGeneralisedCurzonNumber,336.143766
CurzonNumbers,CurzonNumbers.modulusPower,335.14305700000006
Cusip,Cusip.main,8.010437
CutRectangle,CutRectangle.main,9.011021999999999
CutRectangle,CutRectangle.cutRectangle,9.011021999999999
CutRectangle,CutRectangle.printResult,9.011021999999999
CyclotomicPolynomials,CyclotomicPolynomials.main,10522.60358400001
CyclotomicPolynomials,CyclotomicPolynomials.cyclotomicPolynomial,9843.153368000005
CyclotomicPolynomials,CyclotomicPolynomials.distinctPrimeFactors,64.056249
CyclotomicPolynomials,CyclotomicPolynomials.exactDivision,8554.288806999999
CyclotomicPolynomials,CyclotomicPolynomials.substituteExponent,920.6039829999999
CyclotomicPolynomials,CyclotomicPolynomials.toString,91.10096499999999
CyclotomicPolynomials,CyclotomicPolynomials.hasHeight,137.03378399999997
CyclotomicPolynomial,CyclotomicPolynomial.main,165488.5783789999
CyclotomicPolynomial,CyclotomicPolynomial.cyclotomicPolynomial,163118.46767599994
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.divide,162498.91985299994
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.add,159129.01930099985
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.<init>,41882.15733200001
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.multiply,3012.665346
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.toString,8.009575
CyclotomicPolynomial,CyclotomicPolynomial.getFactors,56.046612
CyclotomicPolynomial,CyclotomicPolynomial.Term.clone,24971.764481
CyclotomicPolynomial,CyclotomicPolynomial.TermSorter.compare,9519.787939999998
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.hasCoefficientAbs,1314.5653370000002
CyclotomicPolynomial,CyclotomicPolynomial.Term.<init>,6252.015726999999
CyclotomicPolynomial,CyclotomicPolynomial.Term.multiply,381.19064099999997
CyclotomicPolynomial,CyclotomicPolynomial.Term.degree,251.18017799999998
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.degree,78.066289
CyclotomicPolynomial,CyclotomicPolynomial.Term.add,262.11984499999994
CyclotomicPolynomial,CyclotomicPolynomial.Term.toString,7.008813
CyclotomicPolynomial,CyclotomicPolynomial.Polynomial.leadingCoefficient,28.015373
CyclotomicPolynomial,CyclotomicPolynomial.Term.negate,72.02005499999999
CyclotomicPolynomial,CyclotomicPolynomial.63.apply,3.002265
DammAlgorithm,DammAlgorithm.main,4.997706
DateFormat,DateFormat.main,6.005323000000001
DateFormat,java.text.SimpleDateFormat.<init>,8.003008
DateFormat,java.text.SimpleDateFormat.initializeCalendar,0.999849
DateFormat,java.text.SimpleDateFormat.initialize,3.001655
DateFormat,java.text.SimpleDateFormat.compile,1.001628
DateFormat,java.text.SimpleDateFormat.initializeDefaultCentury,2.0000269999999998
DateFormat,java.text.SimpleDateFormat.parseAmbiguousDatesAsAfter,1.001974
DateFormat,java.text.DateFormat.format,1.001947
DateFormat,java.text.SimpleDateFormat.format,2.003894
DateFormat,java.text.SimpleDateFormat.subFormat,1.001947
Dates,Dates.main,15.028139
DateTest,DateTest.main,7.002880000000001
DeBruijn,DeBruijn.main,133.07231900000002
DeBruijn,DeBruijn.validate,89.03302100000002
DeBruijn,DeBruijn.deBruijn,33.024682000000006
DeBruijn,DeBruijn.allDigits,7.007164000000001
DeBruijn,DeBruijn.63.accept,9.010281
DeBruijn,DeBruijn.recurse.0,9.010281
DeBruijn,DeBruijn.62.apply,42.051485000000014
DeBruijn,DeBruijn.deBruijn.1,40.047775000000016
DeBruijn,DeBruijn.65.accept,1.001703
DeBruijn,DeBruijn.recurse,1.002448
DeceptiveNumbers,DeceptiveNumbers.main,667.313803
DeceptiveNumbers,DeceptiveNumbers.isDeceptive,65.02096000000002
DeceptiveNumbers,DeceptiveNumbers.modulusPower,41.030646
Decode,Decode.main,3.004611
Decode,java.util.Base64.getDecoder,2.005412
Decode,java.util.Base64.Decoder.<clinit>,2.005412
Deconvolution1D,Deconvolution1D.main,6.01026
Deconvolution,Deconvolution.main,1.002635
Deconvolution,Deconvolution.deconvolution1D,1.002635
Deconvolution,Deconvolution.deconvolution,1.002635
Deconvolution,Deconvolution.padAndComplexify,1.002635
DeepCopy,DeepCopy.main,50.075749000000016
DeepCopy,DeepCopy.deepCopy,25.043322000000003
DeepCopy,DeepCopy.Person.toString,14.022516999999999
DeepCopy,DeepCopy.Address.toString,8.011695
DemingsFunnel,DemingsFunnel.main,32.03469700000001
DemingsFunnel,DemingsFunnel.experiment,29.031813999999997
DemingsFunnel,DemingsFunnel.mean,6.00619
DemingsFunnel,DemingsFunnel.funnel,1.000037
DemingsFunnel,DemingsFunnel.stdDev,3.002778
DepartmentNumbers,DepartmentNumbers.main,15.010568999999997
DerangedAnagrams,DerangedAnagrams.main,256.13789800000006
DerangedAnagrams,DerangedAnagrams.printLongestDerangedAnagram,180.05515300000008
DerangedAnagrams,DerangedAnagrams.68.apply,0.987718
DerangedAnagrams,DerangedAnagrams.printLongestDerangedAnagram.0,0.987718
DerangedAnagrams,DerangedAnagrams.63.applyAsInt,12.990306000000002
DerangedAnagrams,DerangedAnagrams.65.apply,0.999079
DerangedAnagrams,DerangedAnagrams.isDeranged,1.003729
Derangement,Derangement.main,154.048493
Derangement,Derangement.derangements,138.011941
Derangement,Derangement.fact,1.001625
Derangement,Derangement.swap,2.99558
Derangement,Derangement.subfact,26.06582600000001
DescendingPrimes,DescendingPrimes.main,40.022244
DescendingPrimes,DescendingPrimes.isPrime,1.000616
DetermineSentenceType,DetermineSentenceType.main,10.010919
DetermineUniqueCharacters,DetermineUniqueCharacters.main,19.026184999999998
Dice,Dice.main,10507.313415000006
Dice,Dice.diceGame,10475.245985000003
Dice,Dice.roll,10417.231954000006
Digester,Digester.main,20.021165000000003
Digester,Digester.hexDigest,20.021165000000003
Dijkstra,Dijkstra.<clinit>,1.993588
DisariumNumbers,DisariumNumbers.main,13169.373863
DisariumNumbers,DisariumNumbers.is_disarium,11550.459146000001
DiscordianDate,DiscordianDate.main,2.002281
DiscordianDate,DiscordianDate.discordianDate,1.000301
Disjoint,Disjoint.main,1.002383
Disjoint,Disjoint.sortDisjoint,1.002383
DistributionInFactorials,DistributionInFactorials.main,513274.30617100024
DistributionInFactorials,DistributionInFactorials.meanFactorialDigits,513261.29072100023
DiversityPredictionTheorem,DiversityPredictionTheorem.main,21.019733999999996
DiversityPredictionTheorem,DiversityPredictionTheorem.diversityTheorem,20.019179999999995
DiversityPredictionTheorem,DiversityPredictionTheorem.averageSquareDiff,5.005202000000001
DominosExtraCredit,DominosExtraCredit.main,4.003705
DominosExtraCredit,DominosExtraCredit.factorial,32.069376
DoubleLinkedListTraversing,DoubleLinkedListTraversing.main,11.025007
DoubleLinkedListTraversing,DoubleLinkedListTraversing.67.accept,1.002893
DoubleLinkedListTraversing,DoubleLinkedListTraversing.66.accept,2.007559
DoublyLinkedList,DoublyLinkedList.main,10.008593999999999
DoublyLinkedList,DoublyLinkedList.traverseList,9.006225
DuffianNumbers,DuffianNumbers.main,74.05134
DuffianNumbers,DuffianNumbers.createDuffians,36.992906
DuffianNumbers,DuffianNumbers.gcd,156.9678569999999
DutchNationalFlag,DutchNationalFlag.main,9.013526
EasterRelatedHolidays,EasterRelatedHolidays.main,104.12704699999999
EasterRelatedHolidays,EasterRelatedHolidays.printEasterRelatedHolidays,104.12704699999999
Eertree,Eertree.main,9.013667
Eertree,Eertree.subPalindromes,8.011209
Eertree,Eertree.subPalindromes_children,10.013469
Eertree,Eertree.eertree,1.002458
EgyptianDivision,EgyptianDivision.main,1.002179
EgyptianDivision,EgyptianDivision.divide,1.002179
EgyptianFractions,EgyptianFractions.main,22362.08183099993
EgyptianFractions,EgyptianFractions.Frac.toEgyptian,66969.59378999949
